School ID,Metro Code,Apple Mac Code,PC Code,Poverty Level Code,Avg Household Income ,Title 1 Code,Software budget per head,Training Budget Per head,Lunch Program Eligible Students,Affluence Indicator
45345,S,D,F,A,O,A,C,A,3,5
45357,S,A,G,A,Q,A,C,A,27,5
45369,S,A,G,A,Q,A,C,A,11,5
45411,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
45438,S,D,D,B,Q,A,C,B,52,4
45444,S,D,D,B,Q,A,C,B,35,4
45447,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
45450,S,D,D,B,Q,A,C,B,13,4
45453,S,D,D,B,Q,A,C,B,29,4
45477,S,D,B,B,Q,B,F,C,0,5
45660,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
45672,S,H,H,D,A,D,H,H,605,1
45696,S,H,H,D,A,D,H,H,396,1
45705,S,H,H,D,A,D,H,H,679,1
45717,S,H,H,D,L,D,H,H,787,5
45729,S,H,H,D,E,D,H,H,658,2
45735,S,H,H,D,E,D,H,H,490,2
45747,S,H,H,D,J,D,H,H,462,3
45750,S,H,H,D,J,D,H,H,536,3
45843,S,H,H,D,A,D,H,H,655,1
45846,S,H,H,D,H,D,H,H,759,3
45849,S,H,H,D,D,D,H,H,569,2
45852,S,H,H,D,D,D,H,H,651,2
45864,S,H,H,D,B,D,H,H,249,1
45873,S,H,H,D,B,D,H,H,541,1
45882,S,H,H,D,B,D,H,H,487,1
45894,S,H,H,D,C,D,H,H,502,2
45897,S,H,H,D,C,D,H,H,976,2
45987,S,E,F,B,P,B,C,A,122,5
45996,S,E,F,B,P,B,C,A,118,5
45999,S,E,F,B,P,B,C,A,358,5
46005,S,E,F,B,P,B,C,A,111,5
46008,S,E,F,B,P,B,C,A,75,5
46011,S,E,F,B,P,B,C,A,127,5
46020,S,E,F,B,P,B,C,A,419,5
46071,S,F,C,B,Q,A,C,A,46,5
46083,S,F,C,B,Q,A,C,A,97,5
46086,S,F,C,B,Q,A,C,A,41,5
46197,S,D,E,C,K,B,C,A,234,5
46740,S,F,B,B,O,B,G,D,102,5
46743,S,F,B,B,O,B,G,D,94,5
46761,S,F,B,B,O,B,G,D,196,5
46773,S,F,B,B,O,B,G,D,115,5
46779,S,G,K,A,Q,A,C,A,134,5
47253,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
47304,S,E,B,B,Q,A,Z,Z,87,5
47439,S,K,F,B,O,A,F,C,78,5
47547,S,D,E,B,Q,A,G,D,51,4
47562,S,E,G,A,Q,A,C,A,281,5
47607,R,B,G,A,Q,A,B,A,40,5
47628,S,E,C,A,Q,A,F,C,32,5
47673,T,C,D,A,O,A,G,D,44,4
47685,T,B,D,C,O,B,F,C,112,5
47817,S,F,G,A,Q,A,C,A,11,5
47946,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
47949,S,C,D,A,Q,A,F,C,10,5
48099,S,NULL,NULL,NULL,N,NULL,NULL,NULL,0,4
48102,S,D,H,B,N,A,H,H,167,3
48135,S,D,H,B,Q,A,H,H,53,4
48189,S,E,K,B,M,B,C,A,84,3
48192,S,E,K,B,M,B,C,A,185,3
48273,S,G,G,B,N,A,C,A,106,2
48288,S,G,G,B,N,A,C,A,117,2
48291,S,H,E,B,N,B,C,A,251,5
48294,S,H,E,B,N,B,C,A,371,5
48297,S,G,G,B,N,A,C,A,163,2
48390,S,E,E,C,I,B,F,C,307,2
48564,S,D,H,B,P,A,H,H,136,3
48693,S,A,G,B,O,B,C,A,178,5
48699,S,A,G,B,O,B,C,A,183,5
48894,S,A,E,B,Q,A,H,G,63,5
49041,S,C,F,B,J,A,C,A,273,4
49062,R,B,H,C,M,B,B,A,531,4
49080,S,C,F,D,I,C,G,C,209,2
49107,S,C,F,B,M,B,F,C,143,5
49110,S,C,F,B,M,B,F,C,89,5
49116,S,C,F,B,M,B,F,C,75,5
49140,S,D,A,B,O,B,F,C,107,5
49248,T,D,C,C,I,C,G,D,42,3
49251,S,G,G,B,P,A,C,A,90,4
49269,S,G,G,B,P,A,C,A,94,4
49278,S,G,G,B,P,A,C,A,70,4
49281,S,G,G,B,P,A,C,A,168,4
49287,S,G,G,B,P,A,C,A,116,4
49290,S,D,E,B,P,A,Z,Z,42,5
49386,S,E,K,B,O,A,H,G,43,4
49410,S,K,E,C,M,C,F,C,161,4
49431,S,C,F,B,J,A,C,A,238,3
49467,S,C,G,C,N,C,G,D,206,5
49470,S,C,G,C,N,C,G,D,61,5
49476,S,C,F,B,N,A,C,A,158,5
49482,S,C,G,C,N,C,G,D,250,5
49818,S,D,F,C,L,B,Z,Z,265,4
49824,S,D,K,B,L,B,G,C,219,2
49830,S,C,A,C,P,C,G,D,3,5
49851,S,D,F,C,L,B,Z,Z,256,4
49854,S,D,F,C,L,B,Z,Z,263,4
49866,S,C,F,B,O,B,C,A,232,5
49881,S,A,E,NULL,O,NULL,G,C,136,5
49890,S,C,F,B,O,B,C,A,245,5
50001,S,D,H,B,N,B,B,A,257,4
50022,S,D,H,B,N,B,B,A,152,4
50058,S,D,K,C,O,B,F,C,0,5
50076,S,C,D,D,I,D,G,D,160,4
50100,R,B,E,C,N,D,H,G,152,5
50112,NULL,E,D,C,H,C,G,D,146,4
50214,R,D,F,B,O,A,H,G,342,4
50217,R,D,F,B,O,A,H,G,182,4
50229,R,K,F,B,O,A,H,G,120,5
50280,S,F,G,C,I,B,B,A,128,3
50316,R,E,K,B,O,C,H,G,78,5
50358,U,NULL,NULL,NULL,L,NULL,NULL,NULL,0,4
50391,U,E,H,C,L,C,G,H,327,5
50406,U,E,H,C,G,C,G,H,466,5
50424,U,E,H,C,G,C,G,H,401,5
50436,U,NULL,NULL,NULL,G,NULL,NULL,NULL,0,2
50451,U,G,G,D,A,D,B,A,653,3
50466,U,G,G,D,A,D,B,A,555,3
50469,U,G,G,D,A,D,B,A,643,3
50472,U,G,G,D,A,D,B,A,262,3
50484,S,B,D,B,N,B,H,E,18,5
50565,S,E,F,B,P,A,C,A,237,5
50568,S,E,F,B,P,A,C,A,484,5
50571,S,E,F,B,P,A,C,A,305,5
50574,S,E,F,B,P,A,C,A,128,5
50580,S,E,F,B,P,A,C,A,404,5
50583,S,E,F,B,P,A,C,A,254,5
50769,R,B,B,B,P,B,H,G,0,5
50907,U,NULL,NULL,NULL,H,NULL,NULL,NULL,0,1
51285,S,A,G,B,Q,A,F,C,113,5
51402,R,K,C,B,N,B,F,C,86,5
51408,R,K,C,B,N,B,F,C,90,5
51528,S,K,G,A,P,A,H,G,27,4
51819,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
51828,S,A,F,B,P,A,F,C,57,5
51831,S,A,F,B,P,A,F,C,122,5
51843,S,A,F,B,P,A,F,C,64,5
53925,U,J,J,C,G,D,G,H,470,4
54282,U,J,J,C,N,D,G,H,244,5
54318,U,NULL,NULL,NULL,O,NULL,NULL,NULL,0,4
54360,U,J,J,C,P,D,G,H,275,5
55413,U,NULL,NULL,NULL,O,NULL,NULL,NULL,0,4
55626,R,F,B,B,P,A,C,A,143,4
55659,NULL,D,G,B,Q,A,C,A,0,5
55884,S,B,G,A,Q,A,C,A,74,5
55890,S,B,G,A,Q,A,C,A,82,5
55896,S,B,G,A,Q,A,C,A,24,5
56283,S,G,E,A,Q,A,C,A,51,4
56337,S,E,E,A,Q,A,G,C,34,4
56415,NULL,NULL,NULL,NULL,P,NULL,NULL,NULL,0,4
56661,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
56748,S,F,H,C,M,B,H,H,124,4
56901,R,A,H,B,P,A,B,A,0,4
57210,R,F,F,B,O,A,B,A,152,4
57246,R,F,F,B,P,A,B,A,203,5
57453,U,J,J,C,P,D,G,H,256,5
57459,S,F,G,B,P,A,C,A,0,4
57462,S,E,K,A,P,A,G,D,22,4
57471,S,E,K,A,P,A,G,D,0,4
57477,S,E,K,A,P,A,G,D,0,4
59049,U,NULL,NULL,NULL,I,NULL,NULL,NULL,0,2
59127,U,NULL,NULL,NULL,N,NULL,NULL,NULL,0,4
60012,U,NULL,NULL,NULL,I,NULL,NULL,NULL,0,2
62271,S,NULL,NULL,NULL,P,NULL,NULL,NULL,0,5
62319,S,E,H,A,Q,A,C,A,55,5
62451,S,G,H,A,P,A,H,H,75,4
62694,S,G,H,A,P,A,H,H,79,4
62916,S,E,H,A,Q,A,C,A,36,5
62988,S,NULL,NULL,NULL,N,NULL,NULL,NULL,0,4
63033,S,B,G,B,P,A,C,A,75,3
63837,S,E,E,B,O,A,F,C,0,4
63963,R,D,F,B,O,A,H,G,123,4
63981,T,E,F,D,H,C,B,A,236,3
64038,T,K,F,C,J,B,C,A,165,2
64044,T,K,F,C,J,B,C,A,126,2
64056,T,K,F,C,J,B,C,A,74,2
64761,U,D,G,C,I,B,Z,Z,0,2
64767,U,D,G,C,I,B,Z,Z,0,2
64770,U,D,G,C,I,B,Z,Z,0,2
64791,U,D,G,C,I,B,Z,Z,0,2
64800,U,D,G,C,I,B,Z,Z,0,2
64857,S,D,G,C,N,B,Z,Z,0,4
64863,S,D,G,C,L,B,Z,Z,0,3
64866,S,D,G,C,L,B,Z,Z,0,3
64878,S,D,G,C,M,B,Z,Z,0,3
64890,S,C,G,B,N,A,C,A,348,3
64896,S,C,G,B,N,A,C,A,192,3
64899,S,C,G,B,N,A,C,A,160,3
64902,S,C,G,B,N,A,C,A,111,3
64905,S,C,G,B,N,A,C,A,106,3
64977,S,E,E,A,P,A,C,A,64,4
64989,S,E,E,A,P,A,C,A,143,4
64989,S,E,E,A,P,A,C,A,43,4
64992,S,E,E,A,O,A,C,A,28,4
65238,S,D,G,B,P,A,C,A,0,5
65256,R,A,H,B,O,A,B,A,143,4
65292,T,C,F,B,N,A,F,C,83,5
65517,R,B,G,C,L,C,B,A,281,2
65589,R,B,G,C,I,C,B,A,616,2
65640,U,C,K,C,I,D,H,E,116,4
65652,U,A,F,C,I,B,G,E,280,3
65691,R,C,E,B,M,B,H,G,85,5
65706,R,K,F,C,K,C,H,G,270,4
65772,S,E,F,C,N,B,H,G,82,5
65811,S,E,G,B,O,A,C,A,0,4
65823,S,E,G,B,O,A,C,A,61,4
65826,S,E,G,B,O,A,C,A,144,4
65835,S,E,G,B,O,A,C,A,85,4
65847,S,E,G,B,O,A,C,A,0,4
65928,R,E,D,C,L,B,H,G,121,4
65976,R,E,D,C,K,B,H,G,181,3
66054,R,D,C,B,J,B,B,A,229,1
66138,R,A,G,B,O,C,H,G,127,5
66183,S,D,H,C,O,B,B,A,0,5
66234,T,G,D,B,M,A,G,C,49,2
66237,T,G,D,B,M,A,G,C,64,2
66240,S,D,H,C,K,B,B,A,0,3
66246,S,D,H,C,K,B,B,A,0,3
66249,S,D,H,C,K,B,B,A,0,3
66255,S,D,H,C,K,B,B,A,0,3
66291,R,D,H,C,L,B,B,A,0,3
66294,T,F,F,C,I,B,B,A,205,3
66297,T,F,F,C,I,B,B,A,40,3
66309,T,F,F,C,I,B,B,A,181,3
66315,T,F,F,C,I,B,B,A,219,3
66318,T,F,F,C,I,B,B,A,151,3
66330,R,D,F,B,L,B,H,G,125,3
66330,R,D,F,B,L,B,H,G,168,3
66405,T,F,G,C,I,C,C,A,304,4
66411,T,F,G,C,I,C,C,A,224,4
66423,T,F,G,C,I,C,C,A,203,4
66429,T,F,G,C,I,C,C,A,340,4
66450,T,B,G,B,M,B,H,G,181,2
66456,T,B,G,B,M,B,H,G,181,2
66540,T,D,F,C,L,C,H,G,115,5
66543,T,D,F,C,L,C,H,G,116,5
66579,R,E,F,C,K,B,H,G,0,5
66588,R,E,F,C,K,B,H,G,0,5
66594,T,E,F,C,I,B,H,G,0,4
66615,R,A,G,B,P,A,H,G,75,4
66633,R,E,F,C,Z,B,H,G,0,5
66705,S,K,G,C,K,B,G,D,0,3
66720,R,D,E,C,H,C,H,G,200,2
67113,R,C,G,C,H,B,H,G,240,1
67119,R,C,G,C,H,B,H,G,252,1
67203,T,C,F,NULL,I,C,F,C,234,2
67215,R,A,F,C,I,C,F,C,309,2
67242,T,D,D,NULL,J,C,G,D,276,2
67245,T,D,D,NULL,J,C,G,D,405,2
67257,R,E,E,C,H,B,H,G,0,2
67257,R,E,E,C,H,B,H,G,240,2
67314,S,K,F,B,L,B,G,D,104,2
67383,R,B,E,NULL,H,NULL,H,G,0,1
67386,R,B,D,NULL,H,NULL,H,G,0,1
67416,R,A,E,C,Z,C,H,G,81,1
67587,R,D,F,B,L,B,C,Z,192,3
67653,R,C,G,C,L,B,H,C,123,3
67680,T,D,F,C,H,C,H,G,199,3
67683,T,D,F,C,H,C,H,G,172,3
67698,R,E,G,D,B,C,H,G,308,2
67701,R,D,D,C,K,C,H,G,243,3
67704,R,D,F,B,J,B,C,Z,189,2
67743,T,C,G,C,I,C,H,F,196,3
67746,T,C,G,C,I,C,H,F,249,3
67818,S,D,H,B,G,B,F,C,268,1
67836,R,K,F,C,G,C,H,G,192,3
67929,S,D,E,C,K,B,H,G,123,2
67944,R,E,F,C,L,B,H,G,153,5
67947,R,E,F,C,L,B,H,G,194,5
68145,T,D,E,D,E,C,D,A,0,1
68157,R,D,E,C,K,B,H,G,267,2
68163,R,D,E,C,K,B,H,G,102,2
68175,S,E,E,B,G,B,G,C,133,1
68178,S,E,E,B,G,B,G,C,194,1
68301,T,B,H,C,I,B,D,A,194,2
68400,R,B,H,C,E,B,D,A,240,1
68499,R,D,E,C,Z,B,H,G,75,1
68517,R,E,F,C,N,B,H,G,67,5
68586,R,F,E,C,I,C,H,G,0,4
68622,S,H,C,B,N,A,C,A,150,2
68634,S,H,C,B,N,A,C,A,172,2
68673,S,H,C,B,P,A,C,A,99,3
68721,T,G,E,C,J,B,C,A,385,3
68727,T,G,E,C,J,B,C,A,333,3
68733,T,G,E,C,J,B,C,A,244,3
68745,T,G,E,C,J,B,C,A,373,3
68754,T,G,E,C,J,B,C,A,224,3
68757,T,G,E,C,J,B,C,A,207,3
68778,R,C,F,C,L,C,H,G,0,4
68781,T,B,F,C,H,C,D,A,0,2
68787,T,B,F,C,H,C,D,A,0,2
68793,T,B,F,C,H,C,D,A,0,2
68910,S,G,F,A,O,A,C,A,33,4
68919,S,G,F,A,O,A,C,A,148,4
68973,R,D,F,B,K,B,G,C,165,3
69054,T,H,E,B,L,B,H,G,256,4
69057,T,B,H,C,Z,B,D,A,353,1
69138,U,G,E,C,D,C,G,E,151,1
69279,U,NULL,NULL,NULL,C,NULL,NULL,NULL,0,1
69450,S,H,C,B,J,A,C,A,215,1
69612,S,NULL,NULL,NULL,M,NULL,NULL,NULL,0,3
69846,T,K,G,C,H,B,G,C,0,2
69954,R,D,E,B,L,A,E,C,186,4
70077,NULL,D,G,C,N,B,H,G,0,5
70149,R,E,C,B,L,B,H,G,0,5
70182,R,K,E,B,N,A,H,G,217,3
70203,S,C,H,B,M,B,G,C,142,3
70278,S,K,G,B,Z,A,B,A,108,5
70281,S,K,G,B,Z,A,B,A,0,5
70284,R,K,G,B,Z,A,B,A,70,5
70287,S,K,G,B,Z,A,B,A,128,5
70299,T,C,H,B,J,B,G,C,173,2
70317,S,F,F,B,P,A,C,A,64,5
70323,S,F,F,B,P,A,C,A,130,5
70425,R,D,G,C,L,B,H,G,153,4
70548,S,NULL,NULL,NULL,O,NULL,NULL,NULL,0,4
70671,U,NULL,NULL,NULL,F,NULL,NULL,NULL,0,2
70710,U,H,H,D,A,D,G,H,349,2
70716,U,H,H,D,A,D,G,H,542,2
70734,U,NULL,NULL,NULL,H,NULL,NULL,NULL,0,2
70752,U,H,H,D,H,D,G,H,227,5
70821,S,H,H,D,L,D,G,H,301,5
70830,S,NULL,NULL,NULL,L,NULL,NULL,NULL,0,3
70845,S,NULL,NULL,NULL,L,NULL,NULL,NULL,0,3
70872,S,G,H,C,G,B,H,H,135,1
70884,S,G,H,C,K,B,H,H,84,3
70953,S,NULL,NULL,NULL,O,NULL,NULL,NULL,0,4
71004,U,H,H,D,F,D,G,H,317,5
71028,U,H,H,D,A,D,G,H,475,2
71082,U,H,H,D,A,D,G,H,545,2
71100,S,NULL,NULL,NULL,N,NULL,NULL,NULL,0,3
71133,S,G,H,C,L,B,H,H,120,3
71193,R,F,D,C,H,C,H,G,0,2
71202,R,F,K,B,K,A,H,G,67,1
71223,R,A,G,C,I,C,H,G,136,3
71283,T,D,G,D,H,C,H,G,186,3
71307,T,D,G,D,H,C,H,G,338,3
71313,T,D,G,D,H,C,H,G,205,3
71346,T,E,F,D,C,D,H,G,164,2
71355,R,C,F,C,I,C,H,G,192,3
71361,R,E,F,D,I,D,H,G,291,5
71388,S,E,G,B,M,A,C,A,81,2
71436,T,F,H,B,K,B,B,A,179,4
71439,T,F,H,B,K,B,B,A,228,4
71493,S,E,G,B,M,A,C,A,141,2
71505,S,E,G,B,M,A,C,A,208,2
71562,R,B,E,C,G,C,H,G,102,2
71571,R,B,E,C,J,C,H,G,121,3
71577,T,F,H,B,L,B,B,A,84,4
71586,T,F,H,B,L,B,B,A,114,4
71625,R,B,F,C,K,B,C,H,155,3
71628,R,B,F,C,K,B,C,H,119,3
71673,T,K,G,C,G,B,H,G,124,2
71676,T,K,G,C,G,B,H,G,241,2
71751,S,F,D,B,L,A,C,A,82,3
71766,S,F,D,B,L,A,C,A,190,3
71775,S,F,D,B,L,A,C,A,73,3
71796,S,C,F,C,F,C,C,A,397,2
71811,S,C,F,C,M,C,C,A,178,5
71814,S,C,F,C,N,C,C,A,190,5
71838,S,E,F,C,J,C,F,C,271,4
71844,S,NULL,NULL,NULL,J,NULL,NULL,NULL,0,2
71850,S,E,E,B,J,A,F,Z,152,1
71853,S,E,E,B,J,A,F,Z,172,1
71862,S,E,F,C,J,C,F,C,443,4
71868,T,D,G,B,I,A,H,G,229,1
71877,S,C,G,B,K,B,C,A,192,2
71880,S,C,G,B,K,B,C,A,136,2
71883,S,C,G,B,K,B,C,A,316,2
71946,S,B,K,D,L,D,G,D,375,5
71952,S,D,F,B,L,A,C,A,25,2
71955,S,D,F,B,L,A,C,A,79,2
71973,S,F,A,B,L,A,C,A,53,3
71979,S,A,G,B,M,B,F,C,137,4
71985,S,F,E,A,P,A,C,A,59,4
71991,S,D,G,A,P,A,C,A,35,4
72009,S,C,G,C,J,B,F,C,357,2
72024,R,K,E,B,L,B,G,C,148,4
72033,S,A,G,A,N,A,F,C,68,4
72042,S,C,H,B,N,A,C,A,97,4
