,ID,State,Subscription_End_Date,Expiring_Dollars,Expiring_Students,Subscription_Status,Renewal_Date,Metro_Code,Apple_Mac_Code,PC_Code,Poverty_Level_Code,Avg_Household_Income,Title_1_Code,Software_budget_per_head,Training_Budget_Per_head,Lunch_Program_Eligible_Students,Affluence_Indicator,Avg_Sell_price,Renew_delay,Days_group
56,123336,North Carolina,2015-01-31,2610,435,Renewed,2014-12-19,T,D,H,D,B,D,G,D,391.0,4.0,6.0,-43.0,3.0
57,126024,North Carolina,2015-01-31,3600,600,Renewed,2015-02-12,T,E,H,D,F,C,G,D,372.0,2.0,6.0,12.0,5.0
58,127449,North Carolina,2015-01-31,2484,414,Renewed,2014-12-16,R,A,H,C,G,B,G,D,339.0,1.0,6.0,-46.0,3.0
59,122610,North Carolina,2015-01-31,4200,700,Renewed,2014-10-14,R,D,H,D,C,D,G,D,598.0,4.0,6.0,-109.0,2.0
60,122682,North Carolina,2015-01-31,4704,784,Renewed,2015-01-26,R,D,H,D,C,D,G,D,833.0,4.0,6.0,-5.0,4.0
61,122715,North Carolina,2015-01-31,4800,800,Renewed,2015-01-12,T,D,H,D,C,D,G,D,530.0,4.0,6.0,-19.0,4.0
62,122760,North Carolina,2015-01-31,1440,240,Renewed,2014-11-25,T,D,H,D,C,D,G,D,123.0,4.0,6.0,-67.0,3.0
63,122778,North Carolina,2015-01-31,3600,600,Renewed,2014-12-22,T,D,H,D,C,D,G,D,437.0,4.0,6.0,-40.0,3.0
64,122850,North Carolina,2015-01-31,3000,500,Renewed,2015-02-23,R,F,H,C,F,C,G,E,319.0,3.0,6.0,23.0,5.0
65,123144,North Carolina,2015-01-31,3600,600,Renewed,2015-01-12,T,D,H,D,A,D,G,D,536.0,3.0,6.0,-19.0,4.0
66,122151,North Carolina,2015-01-31,1920,320,Renewed,2014-11-24,R,D,H,D,A,D,G,D,557.0,3.0,6.0,-68.0,3.0
67,122706,North Carolina,2015-01-31,1500,250,Renewed,2014-10-23,T,D,H,D,C,D,G,D,229.0,4.0,6.0,-100.0,2.0
68,122739,North Carolina,2015-01-31,2520,420,Renewed,2014-10-30,T,D,H,D,C,D,G,D,218.0,4.0,6.0,-93.0,2.0
69,122772,North Carolina,2015-01-31,3126,521,Renewed,2014-08-08,T,D,H,D,C,D,G,D,488.0,4.0,6.0,-176.0,1.0
71,122856,North Carolina,2015-01-31,1440,240,Renewed,2015-02-09,R,F,H,C,F,C,G,E,494.0,3.0,6.0,9.0,5.0
72,123132,North Carolina,2015-01-31,3720,620,Renewed,2014-12-01,T,D,H,D,A,D,G,D,597.0,3.0,6.0,-61.0,3.0
73,124944,North Carolina,2015-01-31,3960,660,Renewed,2015-01-21,R,E,H,D,G,C,G,D,413.0,2.0,6.0,-10.0,4.0
74,131541,South Carolina,2015-01-31,1440,240,Renewed,2015-01-13,R,B,H,D,A,D,G,D,226.0,3.0,6.0,-18.0,4.0
76,133935,South Carolina,2015-01-31,1560,260,Renewed,2014-10-23,U,ZZ,ZZ,ZZ,F,ZZ,ZZ,ZZ,0.0,1.0,6.0,-100.0,2.0
77,147771,Georgia,2015-01-31,3000,500,Renewed,2014-10-14,S,ZZ,ZZ,ZZ,O,ZZ,ZZ,ZZ,0.0,4.0,6.0,-109.0,2.0
78,153348,Georgia,2015-01-31,2700,450,Renewed,2015-03-16,S,G,H,C,K,B,G,E,351.0,1.0,6.0,44.0,6.0
79,153678,Georgia,2015-01-31,2448,408,Renewed,2015-01-23,ZZ,G,H,C,P,B,G,E,153.0,4.0,6.0,-8.0,4.0
80,148158,Georgia,2015-01-31,2370,395,Renewed,2014-12-10,S,H,J,C,J,B,G,E,395.0,2.0,6.0,-52.0,3.0
81,149004,Georgia,2015-01-31,1440,240,Renewed,2014-11-13,S,ZZ,ZZ,ZZ,O,ZZ,ZZ,ZZ,0.0,4.0,6.0,-79.0,3.0
82,153366,Georgia,2015-01-31,2400,400,Renewed,2015-01-05,S,G,H,C,K,B,G,E,436.0,1.0,6.0,-26.0,4.0
83,166227,Georgia,2015-01-31,2100,350,Renewed,2015-01-27,U,E,I,D,A,D,G,E,463.0,2.0,6.0,-4.0,4.0
84,166278,Georgia,2015-01-31,1440,240,Renewed,2014-11-07,U,ZZ,ZZ,ZZ,A,ZZ,ZZ,ZZ,0.0,1.0,6.0,-85.0,3.0
85,166734,Georgia,2015-01-31,2490,415,Renewed,2015-01-27,ZZ,E,I,D,B,D,G,E,488.0,3.0,6.0,-4.0,4.0
86,162975,Georgia,2015-01-31,1440,240,Renewed,2014-10-20,S,ZZ,ZZ,ZZ,N,ZZ,ZZ,ZZ,0.0,4.0,6.0,-103.0,2.0
87,168105,Georgia,2015-01-31,1530,255,Renewed,2014-12-01,U,ZZ,ZZ,ZZ,I,ZZ,ZZ,ZZ,0.0,2.0,6.0,-61.0,3.0
88,161913,Georgia,2015-01-31,3600,600,Renewed,2015-01-15,R,E,D,C,F,B,E,C,362.0,1.0,6.0,-16.0,4.0
89,175461,Florida,2015-01-31,4650,775,Renewed,2014-10-23,T,D,F,C,F,B,E,C,712.0,1.0,6.0,-100.0,2.0
90,182967,Florida,2015-01-31,1590,265,Renewed,2015-01-30,R,F,G,D,B,B,G,D,266.0,1.0,6.0,-1.0,4.0
91,175446,Florida,2015-01-31,4650,775,Renewed,2014-10-23,T,D,F,C,F,B,E,C,426.0,1.0,6.0,-100.0,2.0
92,179094,Florida,2015-01-31,1440,240,Renewed,2015-01-12,U,ZZ,ZZ,ZZ,J,ZZ,ZZ,ZZ,0.0,3.0,6.0,-19.0,4.0
93,185442,Florida,2015-01-31,1440,240,Renewed,2015-01-12,U,H,I,C,C,C,G,E,159.0,1.0,6.0,-19.0,4.0
94,190560,Florida,2015-01-31,2400,400,Renewed,2014-11-03,S,J,J,C,M,C,G,E,318.0,3.0,6.0,-89.0,3.0
95,190608,Florida,2015-01-31,6000,1000,Renewed,2015-02-16,ZZ,J,J,C,I,C,G,E,966.0,3.0,6.0,16.0,5.0
96,196014,Florida,2015-01-31,3690,615,Renewed,2015-02-06,U,J,J,C,F,C,G,E,577.0,1.0,6.0,6.0,5.0
97,196101,Florida,2015-01-31,2400,400,Renewed,2015-01-07,U,J,J,C,J,C,G,E,300.0,3.0,6.0,-24.0,4.0
98,197628,Florida,2015-01-31,2400,400,Renewed,2015-01-29,S,J,J,C,I,C,G,E,349.0,3.0,6.0,-2.0,4.0
99,190281,Florida,2015-01-31,1560,260,Renewed,2014-11-03,S,J,J,C,J,C,G,E,251.0,2.0,6.0,-89.0,3.0
100,190587,Florida,2015-01-31,2700,450,Renewed,2014-11-13,ZZ,J,J,C,I,C,G,E,434.0,3.0,6.0,-79.0,3.0
101,191502,Florida,2015-01-31,4200,700,Renewed,2015-04-06,U,I,J,C,F,B,G,E,650.0,1.0,6.0,65.0,6.0
102,196113,Florida,2015-01-31,2400,400,Renewed,2014-10-27,U,J,J,C,J,C,G,E,709.0,3.0,6.0,-96.0,2.0
103,196791,Florida,2015-01-31,1440,240,Renewed,2015-02-04,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,6.0,4.0,5.0
104,188331,Florida,2015-01-31,5700,950,Renewed,2015-01-20,S,H,J,B,O,B,G,E,287.0,4.0,6.0,-11.0,4.0
105,197814,Florida,2015-01-31,2610,435,Renewed,2015-02-10,S,J,J,C,I,C,G,E,258.0,2.0,6.0,10.0,5.0
106,213978,Florida,2015-01-31,2154,359,Renewed,2014-08-22,U,I,H,C,J,C,G,E,438.0,1.0,6.0,-162.0,1.0
107,220380,Alabama,2015-01-31,3600,600,Renewed,2014-10-28,R,D,F,C,G,A,G,D,257.0,1.0,6.0,-95.0,2.0
108,230529,Alabama,2015-01-31,3930,655,Renewed,2015-01-21,S,G,H,B,L,A,G,E,286.0,2.0,6.0,-10.0,4.0
109,231693,Alabama,2015-01-31,3300,550,Renewed,2015-01-28,T,D,G,D,F,B,H,E,535.0,1.0,6.0,-3.0,4.0
110,220389,Alabama,2015-01-31,2550,425,Renewed,2014-10-28,R,D,F,C,G,A,G,D,279.0,1.0,6.0,-95.0,2.0
111,229365,Alabama,2015-01-31,4800,800,Renewed,2015-01-21,T,G,H,B,J,A,G,E,487.0,1.0,6.0,-10.0,4.0
112,230463,Alabama,2015-01-31,3528,588,Renewed,2015-01-21,S,G,H,B,L,A,G,E,235.0,2.0,6.0,-10.0,4.0
113,232536,Alabama,2015-01-31,1632,272,Renewed,2015-03-23,R,B,G,D,B,D,E,C,268.0,3.0,6.0,51.0,6.0
115,227799,Alabama,2015-01-31,1860,310,Renewed,2015-01-19,T,E,F,C,E,B,H,E,127.0,1.0,6.0,-12.0,4.0
116,227850,Alabama,2015-01-31,1860,310,Renewed,2015-01-19,T,E,F,C,E,B,H,E,194.0,1.0,6.0,-12.0,4.0
117,229563,Alabama,2015-01-31,4050,675,Renewed,2015-01-21,R,G,H,B,I,A,G,E,340.0,1.0,6.0,-10.0,4.0
118,229626,Alabama,2015-01-31,1968,328,Renewed,2015-01-21,R,G,H,B,Q,A,G,E,198.0,4.0,6.0,-10.0,4.0
120,236694,Alabama,2015-01-31,3090,515,Renewed,2015-02-09,T,E,E,D,E,C,E,C,250.0,3.0,6.0,9.0,5.0
121,236808,Alabama,2015-01-31,1440,240,Renewed,2015-01-14,R,K,F,D,A,D,F,C,122.0,2.0,6.0,-17.0,4.0
122,227628,Alabama,2015-01-31,3900,650,Renewed,2014-11-17,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,6.0,-75.0,3.0
123,227742,Alabama,2015-01-31,1710,285,Renewed,2015-01-19,T,E,F,C,E,B,H,E,196.0,1.0,6.0,-12.0,4.0
124,227844,Alabama,2015-01-31,1800,300,Renewed,2015-01-19,T,E,F,C,E,B,H,E,269.0,1.0,6.0,-12.0,4.0
125,227883,Alabama,2015-01-31,3000,500,Renewed,2015-01-19,T,E,F,C,E,B,H,E,279.0,1.0,6.0,-12.0,4.0
126,229539,Alabama,2015-01-31,3210,535,Renewed,2015-01-21,R,G,H,B,O,A,G,E,292.0,3.0,6.0,-10.0,4.0
127,229578,Alabama,2015-01-31,1440,240,Renewed,2015-01-21,R,G,H,B,L,A,G,E,134.0,2.0,6.0,-10.0,4.0
128,232752,Alabama,2015-01-31,1506,251,Renewed,2015-03-23,R,B,G,D,A,D,E,C,243.0,3.0,6.0,51.0,6.0
129,236529,Alabama,2015-01-31,1440,240,Renewed,2015-01-14,R,K,F,D,A,D,F,C,358.0,2.0,6.0,-17.0,4.0
130,237135,Alabama,2015-01-31,1440,240,Renewed,2015-01-14,R,K,F,D,B,D,F,C,123.0,2.0,6.0,-17.0,4.0
131,241029,Alabama,2015-01-31,1770,295,Renewed,2015-01-21,T,A,H,D,C,C,H,E,239.0,1.0,6.0,-10.0,4.0
132,232785,Alabama,2015-01-31,1680,280,Renewed,2015-03-23,R,B,G,D,A,D,E,C,267.0,3.0,6.0,51.0,6.0
133,236511,Alabama,2015-01-31,1440,240,Renewed,2015-01-14,R,K,F,D,A,D,F,C,126.0,2.0,6.0,-17.0,4.0
134,236547,Alabama,2015-01-31,1440,240,Renewed,2015-01-14,R,K,F,D,A,D,F,C,311.0,2.0,6.0,-17.0,4.0
135,239625,Alabama,2015-01-31,1620,270,Renewed,2015-04-28,U,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,3.0,6.0,87.0,6.0
137,247761,Tennessee,2015-01-31,2100,350,Renewed,2015-01-12,U,I,H,C,I,C,G,E,279.0,2.0,6.0,-19.0,4.0
138,251466,Tennessee,2015-01-31,3000,500,Renewed,2014-12-29,U,F,H,C,C,B,G,D,352.0,1.0,6.0,-33.0,3.0
139,251535,Tennessee,2015-01-31,1800,300,Renewed,2014-06-06,U,F,H,C,E,B,G,D,219.0,1.0,6.0,-239.0,1.0
140,240933,Alabama,2015-01-31,1536,256,Renewed,2015-01-21,R,A,H,D,C,C,H,E,282.0,1.0,6.0,-10.0,4.0
142,251463,Tennessee,2015-01-31,1440,240,Renewed,2014-12-23,U,F,H,C,C,B,G,D,252.0,1.0,6.0,-39.0,3.0
143,251556,Tennessee,2015-01-31,1950,325,Renewed,2015-01-21,U,F,H,C,E,B,G,D,246.0,1.0,6.0,-10.0,4.0
144,257100,Tennessee,2015-01-31,2460,410,Renewed,2015-01-26,U,I,H,C,J,B,G,E,144.0,2.0,6.0,-5.0,4.0
145,258663,Tennessee,2015-01-31,2232,372,Renewed,2014-04-07,S,I,G,ZZ,L,ZZ,G,E,278.0,1.0,6.0,-299.0,1.0
146,266496,Mississippi,2015-01-31,2064,344,Renewed,2015-01-06,R,A,F,D,I,C,G,C,459.0,3.0,6.0,-25.0,4.0
147,266880,Mississippi,2015-01-31,2016,336,Renewed,2015-01-06,ZZ,A,F,D,B,C,G,C,188.0,2.0,6.0,-25.0,4.0
149,267450,Mississippi,2015-01-31,2016,336,Renewed,2015-01-06,R,K,K,D,C,C,Z,Z,262.0,2.0,6.0,-25.0,4.0
150,271305,Mississippi,2015-01-31,1560,260,Renewed,2015-02-19,R,C,H,B,I,A,G,D,239.0,1.0,6.0,19.0,5.0
151,272649,Mississippi,2015-01-31,3150,525,Renewed,2015-02-23,S,C,H,B,Q,A,G,D,61.0,4.0,6.0,23.0,5.0
152,266874,Mississippi,2015-01-31,2034,339,Renewed,2015-01-06,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,6.0,-25.0,4.0
153,266895,Mississippi,2015-01-31,1440,240,Renewed,2015-01-21,ZZ,ZZ,ZZ,ZZ,B,ZZ,ZZ,ZZ,0.0,1.0,6.0,-10.0,4.0
154,267441,Mississippi,2015-01-31,2016,336,Renewed,2015-01-06,R,A,F,D,C,C,G,C,256.0,2.0,6.0,-25.0,4.0
155,271245,Mississippi,2015-01-31,1440,240,Renewed,2015-02-19,R,C,H,B,C,A,G,D,158.0,1.0,6.0,19.0,5.0
156,273090,Mississippi,2015-01-31,2784,464,Renewed,2015-02-19,S,C,H,B,M,A,G,D,471.0,2.0,6.0,19.0,5.0
157,271011,Mississippi,2015-01-31,2400,400,Renewed,2015-01-06,R,K,E,D,D,D,E,C,475.0,3.0,6.0,-25.0,4.0
158,271695,Mississippi,2015-01-31,2100,350,Renewed,2015-02-19,ZZ,C,H,B,L,A,G,D,281.0,2.0,6.0,19.0,5.0
159,278508,Mississippi,2015-01-31,2160,360,Renewed,2015-02-26,S,K,G,C,I,B,G,D,324.0,2.0,6.0,26.0,5.0
160,279102,Mississippi,2015-01-31,3120,520,Renewed,2014-10-08,R,E,F,C,G,C,H,E,381.0,2.0,6.0,-115.0,2.0
161,279156,Mississippi,2015-01-31,3900,650,Renewed,2015-01-13,T,E,F,C,F,C,H,E,463.0,1.0,6.0,-18.0,4.0
162,281742,Kentucky,2015-01-31,2700,450,Renewed,2014-11-24,ZZ,ZZ,ZZ,ZZ,O,ZZ,ZZ,ZZ,0.0,5.0,6.0,-68.0,3.0
163,279129,Mississippi,2015-01-31,3900,650,Renewed,2015-01-13,T,E,F,C,F,C,H,E,519.0,1.0,6.0,-18.0,4.0
164,281610,Kentucky,2015-01-31,1650,275,Renewed,2014-11-18,R,K,F,C,J,B,E,C,136.0,4.0,6.0,-74.0,3.0
166,286944,Kentucky,2015-01-31,1440,240,Renewed,2014-12-15,T,ZZ,ZZ,ZZ,Z,ZZ,ZZ,ZZ,0.0,2.0,6.0,-47.0,3.0
167,284244,Kentucky,2015-01-31,3180,530,Renewed,2014-12-12,U,J,I,C,K,C,G,E,497.0,3.0,6.0,-50.0,3.0
168,283740,Kentucky,2015-01-31,2100,350,Renewed,2014-12-16,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,6.0,-46.0,3.0
170,291750,Kentucky,2015-01-31,2280,380,Renewed,2014-10-21,ZZ,ZZ,ZZ,ZZ,N,ZZ,ZZ,ZZ,0.0,4.0,6.0,-102.0,2.0
171,293889,Kentucky,2015-01-31,1800,300,Renewed,2015-03-24,R,C,H,D,B,D,G,D,244.0,2.0,6.0,52.0,6.0
173,294063,Kentucky,2015-01-31,3000,500,Renewed,2015-03-30,T,C,H,D,B,D,G,D,343.0,2.0,6.0,58.0,6.0
174,300333,Kentucky,2015-01-31,1986,331,Renewed,2010-09-15,R,A,F,D,E,D,E,C,231.0,1.0,6.0,-1599.0,11.0
175,300402,Kentucky,2015-01-31,1440,240,Renewed,2014-12-23,R,A,F,D,C,D,E,C,159.0,1.0,6.0,-39.0,3.0
176,306150,Ohio,2015-01-31,1440,240,Renewed,2015-03-09,U,ZZ,ZZ,ZZ,H,ZZ,ZZ,ZZ,0.0,2.0,6.0,37.0,6.0
177,293940,Kentucky,2015-01-31,2100,350,Renewed,2015-03-19,R,C,H,D,B,D,G,D,299.0,2.0,6.0,47.0,6.0
178,293865,Kentucky,2015-01-31,2250,375,Renewed,2015-03-09,T,C,H,D,D,D,G,D,400.0,2.0,6.0,37.0,6.0
179,299946,Kentucky,2015-01-31,1920,320,Renewed,2010-09-20,R,A,F,D,C,D,E,C,208.0,1.0,6.0,-1594.0,11.0
180,300525,Kentucky,2015-01-31,4050,675,Renewed,2014-12-23,R,A,F,D,B,D,E,C,440.0,1.0,6.0,-39.0,3.0
181,287616,Kentucky,2015-01-31,2550,425,Renewed,2014-12-22,U,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,3.0,6.0,-40.0,3.0
182,293883,Kentucky,2015-01-31,3900,650,Renewed,2014-12-17,R,C,H,D,H,D,G,D,493.0,3.0,6.0,-45.0,3.0
183,293922,Kentucky,2015-01-31,2028,338,Renewed,2014-12-18,R,C,H,D,E,D,G,D,244.0,2.0,6.0,-44.0,3.0
184,293982,Kentucky,2015-01-31,1800,300,Renewed,2015-01-13,R,C,H,D,B,D,G,D,253.0,2.0,6.0,-18.0,4.0
185,301632,Ohio,2015-01-31,1650,275,Renewed,2014-12-09,S,E,B,C,K,B,G,C,164.0,2.0,6.0,-53.0,3.0
186,327099,Ohio,2015-01-31,2640,440,Renewed,2014-11-04,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,6.0,-88.0,3.0
187,314769,Ohio,2015-01-31,1800,300,Renewed,2015-02-04,U,ZZ,ZZ,ZZ,I,ZZ,ZZ,ZZ,0.0,3.0,6.0,4.0,5.0
188,340392,Ohio,2015-01-31,2400,400,Renewed,2014-12-02,T,E,E,C,I,B,E,B,270.0,1.0,6.0,-60.0,3.0
189,346800,Ohio,2015-01-31,1440,240,Renewed,2014-11-11,R,A,E,B,Z,B,E,B,98.0,1.0,6.0,-81.0,3.0
190,350280,Indiana,2015-01-31,2400,400,Renewed,2015-01-29,S,K,F,C,I,C,G,C,335.0,4.0,6.0,-2.0,4.0
191,340380,Ohio,2015-01-31,2400,400,Renewed,2014-12-02,T,E,E,C,I,B,E,B,215.0,1.0,6.0,-60.0,3.0
192,340413,Ohio,2015-01-31,2400,400,Renewed,2014-12-02,T,E,E,C,I,B,E,B,182.0,1.0,6.0,-60.0,3.0
193,356820,Indiana,2015-01-31,2070,345,Renewed,2014-06-20,S,ZZ,ZZ,ZZ,P,ZZ,ZZ,ZZ,0.0,5.0,6.0,-225.0,1.0
195,367674,Indiana,2015-01-31,1980,330,Renewed,2015-01-12,R,B,H,C,Z,B,H,C,156.0,2.0,6.0,-19.0,4.0
196,367887,Indiana,2015-01-31,1980,330,Renewed,2015-01-12,R,B,H,C,I,B,H,C,238.0,3.0,6.0,-19.0,4.0
197,367944,Indiana,2015-01-31,1980,330,Renewed,2015-01-12,R,B,H,C,I,B,H,C,482.0,3.0,6.0,-19.0,4.0
198,374256,Indiana,2015-01-31,1440,240,Renewed,2014-10-16,T,K,E,B,L,A,H,Z,95.0,2.0,6.0,-107.0,2.0
199,367440,Indiana,2015-01-31,1980,330,Renewed,2015-01-12,R,B,H,C,J,B,H,C,200.0,4.0,6.0,-19.0,4.0
200,367968,Indiana,2015-01-31,1980,330,Renewed,2015-01-12,R,B,H,C,J,B,H,C,185.0,4.0,6.0,-19.0,4.0
